HWP_ANGLE MOVE_START MOVE_END VAMP_PREFIX
45.00 20190226T144449 20190226T144455 WHya
67.50 20190226T144535 20190226T144541 WHya
00.00 20190226T144621 20190226T144627 WHya
22.50 20190226T144706 20190226T144712 WHya
00.00 20190226T145338 20190226T145344 WHya
22.50 20190226T145424 20190226T145430 WHya
45.00 20190226T145509 20190226T145515 WHya
67.50 20190226T145555 20190226T145601 WHya
00.00 20190226T145640 20190226T145646 WHya
22.50 20190226T145726 20190226T145732 WHya
45.00 20190226T145811 20190226T145817 WHya
67.50 20190226T145856 20190226T145902 WHya
00.00 20190226T145941 20190226T145947 WHya
22.50 20190226T150027 20190226T150033 WHya
